school,major,requirementType,reason,rawText,suggestedAction,canonicalCourseId,canonicalCourseName,conditionType,reviewerNote
Cornell (Duffield),Biological Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,BIOG 1500 (Investigative Biology Laboratory): 2cr,,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,BME 2000 / ENGRD 2202 (Biomedical Transport Phenomena): 3cr,,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,BME에서는 CS가 Junior 단계로 분류됨 (Sophomore 단계 아님),,,,,
Cornell (Duffield),Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRI 입문 과목 1개: 3cr (any ENGRI course),,,,,
Cornell (Duffield),Chemical Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,"Biology Elective — 8cr sequence (recommended, 필수 아님):",,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,CHEM 2080 (General Chemistry II): 3cr + CHEM 2081 (Lab): 1cr,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,CHEM 2900 (Introductory Physical Chemistry Lab): 2cr,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,CHEM 3890 (Honors Physical Chemistry I): 4cr,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,CHEME 2200 (Physical Chemistry II for Engineers): 4cr,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRD 2190 (Chemical Process Design and Analysis): 4cr,,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRI 입문 과목 1개: 3cr (any ENGRI course),,,,,
Cornell (Duffield),Chemical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Sophomore 입학 권장 (일부 sophomore 과목은 CC에서 수강 불가),,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Civil Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,다음 중 1과목 이상 (택1):,,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,CHEM 2080+2081 (Gen Chem II+Lab) OR,,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRD 추가 1과목 (any ENGRD course),,,,,
Cornell (Duffield),Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRI 입문 과목 1개: 3cr (any ENGRI course),,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,선택 조건이지만 공통 과목으로 매핑되지 않음,다음 중 1과목 (택1):,,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,CS는 Junior 단계에 배치됨,,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,EAS 2250 (The Earth System): 4cr,,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRD 추가 1과목 (any ENGRD course),,,,,
Cornell (Duffield),Earth and Atmospheric Sciences,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRI 입문 과목 1개: 3cr (any ENGRI course),,,,,
Cornell (Duffield),Electrical & Computer Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,디지털 로직 설계 / 기본 회로 특성 / 신호처리 관련 선수 과목,,,,,
Cornell (Duffield),Electrical & Computer Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,"introductory coursework in digital logic design, fundamental properties of",,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,공식 명시: 'Successful transfer applicants will generally have completed,,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,다음 중 1과목 (택1):,,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,위 두 과목 중 Junior 단계에서 나머지 1과목,,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ECE/ENGRD 2100 또는 ENGRD 2300 중 나머지 1과목 (Sophomore에서 1개 이수 후),,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRD 2300 (Digital Logic & Computer Organization): 4cr,,,,,
Cornell (Duffield),Electrical & Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,"introductory coursework in digital logic design, fundamental properties",,,,,
Cornell (Duffield),Engineering Physics,recommended,공통 과목 사전에서 자동 매핑하지 않음,by taking both ECE/ENGRD 2100 and ECE/ENGRD 2300'],,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,(4대 공통 필수에서 PHYS 1116도 인정 — EP 학과만),,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,AEP 3200 (Introductory Mathematical Physics): 4cr,,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRD 추가 1과목 (any ENGRD course),,,,,
Cornell (Duffield),Engineering Physics,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRI 입문 과목 1개: 3cr,,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Environmental Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Biology 과목 1개 (다음 중 택1):,,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Biology·Chemistry 이수 순서 무관 (공식 명시),,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,CEE 3510 (Environmental Quality Engineering): 3cr,,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,CEE/ENGRD 3200 (Engineering Computation): 4cr,,,,,
Cornell (Duffield),Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRD/BEE 2510 (Engineering Processes for Environmental Sustainability): 3cr,,,,,
Cornell (Duffield),Materials Science & Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,재료공학 관련 ENGRI 과목 권장,,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRD 추가 1과목 (any ENGRD course),,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRI 입문 과목 1개 (재료공학 관련 권장): 3cr,,,,,
Cornell (Duffield),Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,MSE 2060 (Atomic & Molecular Structure of Matter): 3cr,,,,,
Cornell (Duffield),Materials Science & Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,MSE/ENGRD 2610 OR MSE/ENGRD 2620 중 1과목,,,,,
Cornell (Duffield),Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Mechanical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRI 입문 과목 1개: 3cr,,,,,
Cornell (Duffield),Operations Research & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Junior 단계 추가 필수]:,,,,,
Cornell (Duffield),Operations Research & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,[Sophomore 단계 추가 필수]:,,,,,
Cornell (Duffield),Operations Research & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,4대 공통 필수 (없으면 지원서 심사 불가):,,,,,
Cornell (Duffield),Operations Research & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP 대체 불가,,,,,
Cornell (Duffield),Operations Research & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Calc BC 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Operations Research & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,AP Chemistry 5점 대체 가능 (4점 불가),,,,,
Cornell (Duffield),Operations Research & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,ENGRI 입문 과목 1개: 3cr,,,,,
Georgia Tech,Aerospace Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Aerospace Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,(Chemistry 불필요),,,,,
Georgia Tech,Aerospace Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Aerospace Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Lab Science Elective + Lab: 1과목 (calc-based science w/ lab — bio/chem/physics/earth & atmospheric/env sci 중 선택),,,,,
Georgia Tech,Biomedical Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Biomedical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Biomedical Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Chemistry I + Lab (CHEM 1211K or 1310): required,,,,,
Georgia Tech,Chemical & Biomolecular Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Chemical & Biomolecular Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Chemical & Biomolecular Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Chemistry I + Lab (CHEM 1211K or 1310): required (2-course sequence),,,,,
Georgia Tech,Chemical & Biomolecular Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Chemistry II + Lab (CHEM 1212): required (2-course sequence),,,,,
Georgia Tech,Civil Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Civil Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Civil Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Chemistry I + Lab (CHEM 1211K or 1310): required,,,,,
Georgia Tech,Computer Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,(Chemistry 불필요),,,,,
Georgia Tech,Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Computer Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Computer Science (CS 1301 or CS 1371): required,,,,,
Georgia Tech,Computer Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Lab Science Elective + Lab: 1과목 (calc-based science w/ lab — bio/chem/physics/earth & atmospheric/env sci 중 선택),,,,,
Georgia Tech,Computer Science,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Computer Science,required,공통 과목 사전에서 자동 매핑하지 않음,(Chemistry 불필요),,,,,
Georgia Tech,Computer Science,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Computer Science,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Computer Science (CS 1301 or CS 1371): required,,,,,
Georgia Tech,Computer Science,required,공통 과목 사전에서 자동 매핑하지 않음,Lab Science Elective + Lab: 1과목 (calc-based science w/ lab — bio/chem/physics/earth & atmospheric/env sci 중 선택),,,,,
Georgia Tech,Electrical Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Electrical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,(Chemistry 불필요),,,,,
Georgia Tech,Electrical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Electrical Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Computer Science (CS 1301 or CS 1371): required,,,,,
Georgia Tech,Electrical Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,Lab Science Elective + Lab: 1과목 (calc-based science w/ lab — bio/chem/physics/earth & atmospheric/env sci 중 선택),,,,,
Georgia Tech,Environmental Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Environmental Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Environmental Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Chemistry I + Lab (CHEM 1211K or 1310): required,,,,,
Georgia Tech,Industrial Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Industrial Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Industrial Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Chemistry I + Lab (CHEM 1211K or 1310): required,,,,,
Georgia Tech,Materials Science & Engineering,recommended,공통 과목 사전에서 자동 매핑하지 않음,(권장과목 목록 없음),,,,,
Georgia Tech,Materials Science & Engineering,required,공통 과목 사전에서 자동 매핑하지 않음,전 학과 공통 필수 (2025 PDF):,,,,,
Georgia Tech,Materials Science & Engineering,required,선택 조건이지만 공통 과목으로 매핑되지 않음,Chemistry I + Lab (CHEM 1211K or 1310): required,,,,,
